Unnamed: 0,name,iso_code,population
182,Sudan,SDN,43849260.0
183,Suriname,SUR,586632.0
184,Sweden,SWE,10099265.0
185,Switzerland,CHE,8654622.0
186,Syria,SYR,17500658.0
187,Taiwan,TWN,0.0
188,Tajikistan,TJK,9537645.0
189,Tanzania,TZA,59734218.0
190,Thailand,THA,69799978.0
191,Timor,TLS,1318445.0
192,Togo,TGO,8278724.0
193,Tonga,TON,105695.0
194,Trinidad and Tobago,TTO,1399488.0
195,Tunisia,TUN,11818619.0
196,Turkey,TUR,84339067.0
197,Turkmenistan,TKM,6031200.0
198,Turks and Caicos Islands,TCA,0.0
199,Uganda,UGA,45741007.0
200,Ukraine,UKR,43733762.0
201,United Arab Emirates,ARE,9890402.0
202,United Kingdom,GBR,67886011.0
203,United States,USA,331002651.0
204,United States Virgin Islands,VIR,0.0
205,Uruguay,URY,3473730.0
206,Uzbekistan,UZB,33469203.0
207,Vanuatu,VUT,307145.0
208,Venezuela,VEN,28435940.0
209,Vietnam,VNM,97338579.0
210,Western Sahara,ESH,0.0
211,Yemen,YEM,29825964.0
212,Zambia,ZMB,18383955.0
213,Zimbabwe,ZWE,14862924.0
