iso_code,year,gdp_constant,gdp_per_capita_constant,fk_country
ALB,2019,12964502337.0284,4542.26866282892,1
ALB,2020,12534895529.6924,4417.04105105395,1
ALB,2021,13659219676.8332,4858.05201500931,1
ALB,2022,14318507636.8055,5154.8274975368,1
ARE,1970,14070592923.5195,49105.8468168729,201
ARE,1971,19222171570.8794,57374.9923763739,201
ARE,1972,26734126557.4508,69436.7647863475,201
ARE,1973,47217855773.4935,108198.817535085,201
ARE,1974,54063519989.2883,110539.679012708,201
ARE,1975,57430272383.8423,105792.829744614,201
ARE,1976,66921691091.788,108662.746590635,201
ARE,1977,81269253400.5128,114430.052844322,201
ARE,1978,79977394650.4339,98826.1017287519,201
ARE,1979,96711523265.0772,106042.174170324,201
ARE,1980,119801181757.278,117949.376545514,201
ARE,1981,125382930472.87,113999.509456128,201
ARE,1982,116958054931.525,100275.259935977,201
ARE,1983,111407435350.44,90186.176976892,201
ARE,1984,115882617750.221,88731.2195062013,201
ARE,1985,111717244267.457,81077.2569980622,201
ARE,1986,95006426303.6988,64745.4865592002,201
ARE,1987,98219526263.7692,62391.5519219188,201
ARE,1988,95647247523.8201,56872.3569937591,201
ARE,1989,107448100937.652,60031.8690984066,201
ARE,1990,127141173333.666,66979.1559111514,201
ARE,1991,128234691613.625,63905.6264663297,201
ARE,1992,132524071337.561,62667.1354440337,201
ARE,1993,134195452926.099,60391.4655804681,201
ARE,1994,143449770711.842,61614.341587467,201
ARE,1995,153043528503.787,62860.2773213642,201
ARE,1996,161917610688.198,62334.4066549265,201
ARE,1997,175179308486.77,62177.4283781097,201
ARE,1998,175690822156.071,57785.0311374876,201
ARE,1999,180789745160.268,55354.9439576767,201
ARE,2000,200410321454.247,57365.398325282,201
ARE,2001,203214232274.451,54574.8141644088,201
ARE,2002,208159362850.444,52607.6615070877,201
ARE,2003,226478512535.33,54020.4735636716,201
ARE,2004,248144435934.961,56027.6100352432,201
ARE,2005,260192198668.463,55777.9018280487,201
ARE,2006,285788137266.095,57053.7895562267,201
ARE,2007,294888746625.5,52428.0680658389,201
ARE,2008,304301112606.226,48281.3477929691,201
ARE,2009,288346842919.734,42991.5535126927,201
ARE,2010,292968610431.171,42645.6359569427,201
ARE,2011,311179896130.516,43800.1592968488,201
ARE,2012,316857313553.72,42868.0975031847,201
ARE,2013,332876224059.313,43269.8404646118,201
ARE,2014,346742821770.78,43023.1904165525,201
ARE,2015,370275469560.166,43534.9972681733,201
ARE,2016,390868305567.669,43745.2881662331,201
ARE,2017,393741456191.578,42690.2147775401,201
ARE,2018,398914879841.349,42679.751908331,201
ARE,2019,403336245487.99,42700.1297920702,201
ARE,2020,383342656303.629,40776.6308681689,201
ARE,2021,400036290943.156,41778.5838745072,201
ARE,2022,430077804411.91,42687.7207175669,201
ARG,1965,181755894112.433,8219.55155637229,6
ARG,1966,180556802912.311,8041.22487411475,6
ARG,1967,186320169964.576,8172.27456469042,6
ARG,1968,195305461613.156,8436.30856351031,6
ARG,1969,214210104570.482,9111.9459748551,6
ARG,1970,220734180309.322,9244.12251785153,6
ARG,1971,233223609573.669,9614.61061692134,6
ARG,1972,237021461356.448,9617.68814943737,6
ARG,1973,243685921868.226,9729.53258885903,6
ARG,1974,257171024124.452,10100.4469136163,6
ARG,1975,257097956426.363,9936.49583447894,6
ARG,1976,251909073021.038,9584.74851751038,6
ARG,1977,269376820356.431,10088.3374871635,6
ARG,1978,257238364643.474,9480.94009490414,6
ARG,1979,283535234199.299,10284.6064087552,6
ARG,1980,287841521828.634,10275.7987023886,6
ARG,1981,272903153784.458,9587.67379423426,6
ARG,1982,270895516738.16,9365.68465387847,6
ARG,1983,282677015450.457,9617.7000569575,6
ARG,1984,287117132733.287,9614.44726215357,6
ARG,1985,272218554792.861,8973.31874865813,6
ARG,1986,288969188904.054,9378.46866394349,6
ARG,1987,296785426416.393,9484.45876638052,6
ARG,1988,293550663101.649,9236.80771302535,6
ARG,1989,272541389928.67,8445.4100923428,6
ARG,1990,265817211205.311,8115.09386370753,6
ARG,1991,290094591011.844,8729.82318518892,6
ARG,1992,313120244489.89,9293.18692251748,6
ARG,1993,338817957426.035,9920.67358582437,6
ARG,1994,358592053441.545,10359.8927204871,6
ARG,1995,348389357874.283,9934.10776139515,6
ARG,1996,367643757074.802,10352.1400002191,6
ARG,1997,397463514160.866,11056.6881331002,6
ARG,1998,412766570325.764,11348.2022124673,6
ARG,1999,398792535409.293,10838.3199346387,6
ARG,2000,395646066535.875,10631.6503639029,6
ARG,2001,378202665751.853,10051.9448463043,6
ARG,2002,336999433710.193,8861.56199282278,6
ARG,2003,366780211148.674,9545.53194119994,6
ARG,2004,399898899166.738,10302.4465316428,6
ARG,2005,435296589745.339,11099.7509190602,6
ARG,2006,470325565798.353,11870.2791559298,6
ARG,2007,512690850741.56,12811.9021206578,6
ARG,2008,533491913656.279,13197.3570267029,6
ARG,2009,501917060966.235,12285.3784651865,6
ARG,2010,552738161802.463,13387.1553748458,6
ARG,2011,585924294024.785,14040.6189124444,6
ARG,2012,579910247223.428,13754.4254235596,6
ARG,2013,593858966307.156,13946.0950832252,6
ARG,2014,578937574935.696,13456.1319159151,6
ARG,2015,594749285413.212,13679.6264980954,6
ARG,2016,582376550428.09,13265.8860639123,6
ARG,2017,598790850843.677,13520.1129846159,6
ARG,2018,583118120294.002,13058.3285449954,6
ARG,2019,571450737224.442,12706.3978108968,6
ARG,2020,514874343768.066,11393.0505957877,6
ARG,2021,568636554720.066,12549.2811699342,6
ARG,2022,598603016935.287,13182.7933950725,6
ARM,1990,5839777093.95123,1644.02214502158,7
ARM,1991,5156523262.60518,1426.82791357144,7
ARM,1992,3001096397.25066,840.205259177402,7
ARM,1993,2736999950.50702,792.567859246381,7
ARM,1994,2884798023.90046,857.394474812969,7
ARM,1995,3083849041.96219,932.357829471807,7
ARM,1996,3264729146.7809,995.728275319872,7
ARM,1997,3373153403.74995,1039.0798243009,7
ARM,1998,3619393601.80914,1128.09888845227,7
ARM,1999,3738833590.68989,1180.45341995952,7
ARM,2000,3959424772.65728,1229.21510436102,7
ARM,2001,4339529550.80371,1351.12072694555,7
ARM,2002,4912347451.42022,1535.20452885187,7
ARM,2003,5600076094.6952,1759.64684829386,7
ARM,2004,6188084084.57212,1955.22262459229,7
ARM,2005,7048227772.27278,2240.09273209788,7
ARM,2006,7978593838.17516,2551.43546358452,7
ARM,2007,9071661194.12856,2919.3734936373,7
ARM,2008,9697605816.5624,3141.33193500774,7
ARM,2009,8330243396.35924,2716.97436280471,7
ARM,2010,8513508751.09706,2796.08143428043,7
ARM,2011,8913643662.28574,2943.83687119315,7
ARM,2012,9555426006.05632,3159.75860786889,7
ARM,2013,9870755064.25618,3266.29882999873,7
ARM,2014,10226102246.6276,3393.09252326884,7
ARM,2015,10553337518.414,3512.39350276709,7
ARM,2016,10574444193.4325,3533.88503607007,7
ARM,2017,11367527508.1135,3815.3747426037,7
ARM,2018,11958638938.496,4027.83393010979,7
ARM,2019,12867495497.6469,4343.45839583019,7
